job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary<=15K,demand
数据分析师,"数据分析,金融",北京,北京芯盾时代科技有限公司,100-299人,20,FALSE,本科
Hadoop开发工程师,"BI,报表开发,数据仓库,数据清洗,数据分析",北京,泰康健投,10000人以上,25,FALSE,本科
数据分析师,"风险控制,金融,数据分析",北京,东方微银科技股份有限公司,300-499人,13.5,TRUE,本科
数据分析师,"Python,R语言,SQL",北京,北京清华同衡规划设计研究院有限公司,1000-9999人,10,TRUE,硕士
数据分析师,"数据分析,数据清洗,数据治理,模型设计",北京,南京橡东信息科技有限公司,100-299人,14,TRUE,本科
数据分析师,数据建模,北京,联合信用征信股份有限公司,300-499人,17.5,FALSE,本科
数据分析师,数据分析,北京,中元国际工程,1000-9999人,12.5,TRUE,本科
数据分析师,"SQL,Python,R语言,商业分析,行业分析",北京,易车公司,1000-9999人,32.5,FALSE,本科
数据分析师,"BI,Python,SQL,Hive,数据仓库",北京,北京恒昌利通投资管理有限公司,500-999人,25,FALSE,本科
数据分析师,数据分析,北京,深圳市拓保软件有限公司,1000-9999人,5,TRUE,本科
数据分析师,"行业分析,大数据分析,数据分析,数据采集",北京,洪顺投资管理有限公司d,100-299人,12.5,TRUE,大专
数据分析师,"数据分析,商业数据分析",北京,北京欧君科技有限责任公司,20-99人,11.5,TRUE,学历不限
数据分析师,"数据分析,商业分析",北京,医联,500-999人,22.5,FALSE,本科
数据分析师,"数据分析,需求分析,Python,机器学习",北京,北京宇欣泓创信息技术有限公司,20-99人,21.5,FALSE,大专
数据分析师,"行业分析,数据分析",北京,香港環球資本有限公司,500-999人,17.5,FALSE,大专
数据分析师,"数据分析,数据挖掘,舆情分析,数据中台,商业数据分析",北京,建囤财富金融信息服务有限公司e,100-299人,11.5,TRUE,大专
数据分析师,"Python,MATLAB",北京,北京德风新征程科技有限公司成都分公司,100-299人,17.5,FALSE,本科
数据分析师,MySQL,北京,大北农集团,10000人以上,20,FALSE,本科
数据分析师,"SQL,MySQL,R语言,行业分析,Python",北京,博彦科技,10000人以上,12.5,TRUE,本科
数据分析师,"数据分析,数据挖掘,Linux",北京,博彦科技承德有限公司,1000-9999人,8,TRUE,本科
数据分析师,"数据分析,数据建模,商业分析,大数据平台,数据集市",北京,华汇亚辰资产管理有限公司1,100-299人,10,TRUE,大专
数据分析师,"SQL,Python,数据分析",北京,梦想城堡(天津)电子商务有限公司北京分公司,1000-9999人,15,TRUE,本科
数据分析师,"数据分析,行业分析",北京,北京千帆阅文科技有限公司,20-99人,18,FALSE,本科
数据分析师,"数据分析,大盘数据统计,数据监控",北京,科锐国际,1000-9999人,10,TRUE,大专
数据分析师,"数据分析,统计学,统计软件",北京,北京一拍在线国际拍卖有限公司,20-99人,5.5,TRUE,大专
数据分析师,"风险分析,行业分析,基金数据分析,证券数据分析,期货数据分析",北京,香港環球資本有限公司,500-999人,18.5,FALSE,大专
Hadoop开发工程师,"BI,Tableau,SPSS,数据分析",北京,睿禄辰网络科技有限责任公司,20-99人,27.5,FALSE,本科
数据分析师,"数据分析,SPSS,商业数据分析,数据采集",北京,百川能源股份有限公司,1000-9999人,7.5,TRUE,本科
数据分析师,"数据架构,大数据",北京,北京安信创业信息科技发展有限公司,100-299人,15,TRUE,本科
数据分析师,"风险控制,数据分析,金融,风险审核",北京,经国资本管理集团有限公司,500-999人,12.5,TRUE,大专
数据分析师,"数据分析,SPSS,Python",北京,北京伟思和宜教育科技有限公司,20人以下,10,TRUE,本科
数据分析师,"数据分析,SQL,ETL,数据仓库",北京,神州通誉软件(上海)股份有限公司,500-999人,12.5,TRUE,本科
数据分析师,"数据分析,报告撰写,入校解读",北京,麦可思数据有限公司,100-299人,12.5,TRUE,硕士
