id,job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary_fif,demand
206,Hadoop开发工程师,"Hadoop,Kafka,Flink,数据建模,数据处理",北京,江苏红网技术股份有限公司,500-999人,17.5,FALSE,本科
207,Hadoop开发工程师,"Hadoop,大数据平台,Linux,Docker,K8s",北京,软通动力信息技术(集团)股份有限公司,10000人以上,20,FALSE,大专
208,Hadoop开发工程师,"Spark,ETL,数据仓库,Hadoop,Hive",北京,北京信联科汇科技有限公司,100-299人,15,TRUE,本科
209,Hadoop开发工程师,"ETL,数据库",北京,北京独创时代科技有限公司,100-299人,12.5,TRUE,本科
210,前端开发,"Hadoop,Linux,HDFS,Yarn,Hive",北京,北京安客科技有限公司,100-299人,15,TRUE,本科
211,数据分析师,"数据仓库,ETL,数据分析,数据处理",北京,泰康保险集团,10000人以上,22.5,FALSE,本科
212,Hadoop开发工程师,"Hadoop,Spark",北京,慧科集团,1000-9999人,20,FALSE,本科
213,数据分析师,"SQL,数据仓库,大数据分析,数据库架构,数据架构",北京,广州人瑞人力资源服务有限公司佛山分公司,500-999人,40,FALSE,本科
214,Hadoop开发工程师,"ETL,Spark,大数据开发,Linux,Java",北京,天阳宏业科技股份有限公司,1000-9999人,12,TRUE,本科
215,Hadoop开发工程师,"数据挖掘,数据库开发",北京,东方国信,1000-9999人,12,TRUE,本科
